,average tilted,name
2882,-75.0,ROBERT J HANKINSON
2883,-75.0,MARTIN R SCHOENFELD
2884,-86.22145404577718,ALAN E GUSKIN
2885,-78.75,CHARLES B GUIGNON
2886,-86.75099594734378,ROSANN  COLLINS
2887,-88.47835357203498,DONALD  BERNDT
2888,-80.00000000000001,CHRISTOPHER  GOWANS
2889,-88.47835357203498,DAVID T OZAR
2890,-80.00000000000001,MARK  BERNSTEIN
2891,-75.0,JONATHAN  SCHAFFER
2892,-75.0,STEPHEN  SCHIFFER
2893,-87.44342186310288,WILLIAM  CHARRON
2894,-87.47598471828103,KATHLEEN  BURNETT
2895,-87.44342186310288,ALEXANDER  REHDING
2896,-75.0,MICHAEL  HUEMER
2897,-75.0,ZACHARY  BRAITERMAN
2898,-75.0,HUGO  ACHUNGAR
2899,-75.0,ABRAHAM S ROTH
2900,-87.44342186310288,SIBYL A SCHWARZENBACH
2901,-86.18669809859479,ECKART  GOEBEL
2902,-80.00000000000001,RACHEL  COHON
2903,-75.0,RUTH  CHANG
2904,-75.0,MARTIN P GOLDING
2905,-80.00000000000001,MICHAEL  WREEN
2906,-84.94374174950634,STJEPAN  MESTROVIC
2907,-75.0,TOBIAS  HOFFMANN
2908,-78.75,ALASTAIR  NORCROSS
2909,-86.18669809859479,EDUARDO  MENDIETA
2910,-84.59115650703554,SVEN  BERNECKER
2911,-75.0,LAURIE  PAUL
2912,-78.75,JORDI  CAT
2913,-75.0,AMIE L THOMASSON
2914,-75.0,PAUL  DRAPER
2915,-85.43926806768745,FRANK  TROMMLER
2916,-89.15823103886713,EWA  LAJER-BURCHARTH
2917,-75.0,ZLATAN  DAMNJANOVIC
2918,-75.0,THOMAS  HOFWEBER
2919,-88.10530187599741,JORGE T MARCONE
2920,-80.00000000000001,JOSHUA  PARENS
2921,-78.75,ALAN  MITTLEMAN
2922,-78.75,FERNANDO J BOSCO
2923,-88.47835357203498,LEO P DE ALVAREZ
2924,-80.00000000000001,CHRISTOPHER H WELLMAN
2925,-75.0,WILLIAM  EARLE
2926,-81.0,JAMES  GRIESEMER
2927,-80.625,JAMES  SWINDAL
2928,-75.0,NED  LUKACHER
2929,-87.47598471828103,EDWARD A HOOVER
2930,-88.47835357203498,JULIANNE  NEWTON
2931,-78.75,ROBERT M FIGUEROA
2932,-80.00000000000001,ALI A MAZRUI
2933,-78.75,PAUL D EISENBERG
2934,-75.0,JIM  WOELFEL
2935,-86.18669809859479,STEPHEN  ENGSTROM
2936,-85.11973846880868,CORNE J BEKKER
2937,-87.44342186310288,STEVE W LEMKE
2938,-75.0,JAVIER  IBANEZ-NOE
2939,-78.75,SANFORD  GOLDBERG
2940,-75.0,ROBERT  RUPERT
2941,-80.00000000000001,ERIC  WATKINS
2942,-84.94374174950634,RONNA C BURGER
2943,-80.625,RANDOLPH  CLARKE
2944,-78.75,DANIEL  DEVEREUX
2945,-75.0,DOUGLAS  BERGER
2946,-78.75,DAVID K GLIDDEN
2947,-80.00000000000001,TIM  LABOR
2948,-75.0,ANDREI  MARMOR
2949,-75.0,MARIAM  THALOS
2950,-75.0,VERONIQUE  FOTI
2951,-75.0,JENANN  ISMAEL
2952,-78.75,ROBERT J PENELLA
2953,-75.0,JEFF  MITSCHERLING
2954,-75.0,IRENE  MCMULLIN
2955,-87.47598471828103,CRAIG  GINGRICH-PHILBROOK
2956,-75.0,PATRICIA  CURD
2957,-87.46911743363202,NAOMI  ZACK
2958,-75.0,JOHN  MALCOLM
2959,-80.00000000000001,BERNARD  MOLYNEUX
2960,-86.18669809859479,TALBOT  BREWER
2961,-78.75,CATHERINE Z ELGIN
2962,-75.0,CASEY  PERIN
2963,-87.44342186310288,MARCIA  BARON
2964,-78.75,MARK  ROWLANDS
2965,-75.0,SCOTT  BERMAN
2966,-75.0,KENT  STALEY
2967,-84.94374174950634,JAMES  DODD
2968,-75.0,DANIEL  HEINBACH
2969,-75.0,GIAN A ANTONELLI
2970,-75.0,VINAYAK  CHATURVEDI
2971,-75.0,DAVID  MARRIOTT
2972,-75.0,KAREN  NEANDER
2973,-86.75099594734378,ARNOLD  ARONSON
2974,-75.0,RICHARD  MANNING
2975,-75.0,ZEV  TRACHTENBERG
2976,-78.75,FELIPE G ISA
2977,-75.0,CAROL  CLELAND
2978,-87.46911743363202,CARLA  LEFEVRE
2979,-75.0,ANTONIA  LOLORDO
2980,-75.0,JONATHAN  MCKEOWN-GREEN
2981,-75.0,JACK  LYONS
2982,-75.0,BEN  BRADLEY
2983,-80.625,MARK  HELLER
2984,-80.625,ARVED M ASHBY
2985,-78.75,BRUCE  LANDESMAN
2986,-78.75,URSULA  GOLDENBAUM
2987,-86.65159301159696,HERBERT L KESSLER
2988,-87.44342186310288,PENELOPE  DEUTSCHER
2989,-87.44342186310288,ALESSANDRA  RAENGO
2990,-75.0,JOHN  KNASAS
2991,-78.75,DERK  PEREBOOM
2992,-84.59115650703554,SERGEI  ARTEMOV
2993,-75.0,CHRISTOPHER  KNAPP
2994,-86.18669809859479,JEFFREY K TULIS
2995,-75.0,OMAR  DAHBOUR
2996,-75.0,MELISSA S LANE
2997,-87.48202088606622,JORGE N FERRER
2998,-75.0,MATTHEW J KISNER
2999,-75.0,JEFFREY  BLOECHL
3000,-78.75,THOMAS B SATTIG
3001,-75.0,ANNE-MARIE  SCHULTZ
3002,-78.75,SAMUEL  FLEISCHACKER
3003,-75.0,LYNNE  SPELLMAN
3004,-75.0,KRISTIN  GJESDAL
3005,-78.75,GHASSAN  ABU-LEBDEH
3006,-80.00000000000001,PARVIZ  SOROUSHIAN
3007,-75.0,TIMOTHY L J LECAIN
3008,-87.44342186310288,KIRK D DOLAN
3009,-81.0,KRISHNAMURTHY  JAYARAMAN
3010,-75.0,JOHN W O'MALLEY
3011,-80.625,SHANKER  BALASUBRAMANIAM
3012,-87.44342186310288,BETTY H CHENG
3013,-75.0,HARRY A IDE
3014,-75.0,SHEILA R MAXWELL
3015,-75.0,BRAD  ARMENDT
3016,-85.53275429007608,RUFUS  ISAACS
3017,-77.2124380147315,ORLANDO  SARNELLE
3018,-88.47835357203498,THOMAS C VOICE
3019,-75.0,TERENCE L MARSH
3020,-88.10530187599741,NEAL  SCHMITT
3021,-75.0,RANJANI  KRISHNAN
3022,-86.18669809859479,JAMES  LINNEMANN
3023,-75.0,WAYNE  RIGGS
3024,-86.75099594734378,THOMAS S JAYNE
3025,-78.75,THOMAS W HAMANN
3026,-81.5625,JOHN R HOLLENBECK
3027,-86.18669809859479,KEITH  WHITTINGTON
3028,-88.47835357203498,WARREN  METCALF
3029,-88.10530187599741,LAWRENCE T DRZAL
3030,-78.75,ANTOINETTE  WINKLERPRINS
3031,-75.0,KYLE  EVERED
3032,-78.75,BRYAN  FRANCES
3033,-80.00000000000001,JOAN  LUFT
3034,-75.0,NICHOLAS B OLIVIER
3035,-87.46911743363202,PERO  DAGBOVIE
3036,-75.0,SRINIVASAN A TEKALUR
3037,-84.46680676946576,SYED A HASHSHAM
3038,-75.0,MICHAEL P FOLEY
3039,-84.94374174950634,LAWRENCE M ZBIKOWSKI
3040,-78.75,CLAY  VOORHEES
3041,-87.44342186310288,JULIE C LIBARKIN
3042,-87.73405101656536,RODGER K BUFFORD
3043,-75.0,ROBERT  D'AMICO
3044,-75.0,STEWART  DUNCAN
3045,-86.18669809859479,J DENNIS BOUNDS
3046,-80.625,DREW R MCCOY
3047,-75.0,SALLY  SEDGWICK
3048,-75.0,DONALD  BRUZINA
3049,-78.75,DALE  COULTER
3050,-75.0,CRAIG V MITCHELL
3051,-88.47835357203498,CHRIS  VOPARIL
3052,-86.2140177350174,JOHN  POULAKOS
3053,-75.0,JOE  SALERNO
3054,-78.75,JOHN A TABER
3055,-81.5625,BRIAN  HYER
3056,-80.625,STEPHEN  KEVAN
3057,-80.00000000000001,NWANDO  ACHEBE
3058,-75.0,GRAEME  FORBES
3059,-75.0,JOHN H MCCLENDON
3060,-78.75,SANDEEP  KULKARNI
3061,-75.0,ANNE M DORRANCE
3062,-81.0,FARHAD A JABERI
3063,-75.0,KATHY  HIGH
3064,-75.0,MARY A STANISZEWSKI
3065,-80.625,KURT D THELEN
3066,-78.75,CARL J BOEHLERT
3067,-80.625,PATRICK  KWON
3068,-75.0,JAN  SZAIF
3069,-87.44342186310288,DIONICIO N VALDES
3070,-84.94374174950634,MAHESH K NALLA
3071,-80.625,RONALD  TUMA
3072,-86.18669809859479,GEORGE C STOCKMAN
3073,-81.42857142857143,HASSAN K KHALIL
3074,-75.0,TARIQ  ABDELHAMID
3075,-84.32746767481349,EDWARD J ROTHWELL
3076,-80.625,RAM  NARASIMHAN
3077,-86.18669809859479,WEIMING  LI
3078,-85.43926806768745,GARY  HOPPENSTAND
3079,-81.0,HAROLD  SCHOCK
3080,-84.32746767481349,ELIAS G STRANGAS
3081,-75.0,TAMARA  BUSH
3082,-75.0,MANTHA S PHANIKUMAR
3083,-75.0,VIRGINIA M AYRES
3084,-75.0,JIM R BINGEN
3085,-78.75,MATT  SYAL
3086,-78.75,POUYAN  NEJADHASHEMI
3087,-80.625,RICHARD  TARNAS
3088,-75.0,NICOLAS D WARREN
3089,-75.0,ALEXANDRA  KRAVCHENKO
3090,-87.44342186310288,IGOR Z VOJNOVIC
3091,-80.62889946469714,SUSAN  SELKE
3092,-75.0,PHILIP  RUPPRECHT
3093,-75.0,SAMUEL C RICKLESS
3094,-85.43926806768745,TIMOTHY  GROTJOHN
3095,-75.0,IAN A YORK
3096,-75.0,BRENT A SCOTT
3097,-78.75,LORRAINE M SORDILLO
3098,-78.75,MARK E WHALON
3099,-75.0,ERIC  WINSBER
3100,-75.0,MATHIEU  NGOUAJIO
3101,-85.43926806768745,CHARLES R KESLER
3102,-86.18669809859479,AHMED  NAGUIB
3103,-75.0,JOE T DARDEN
3104,-75.0,CHRISTY  SPRAGUE
3105,-87.44342186310288,JON  MANDLE
3106,-88.47835357203498,DAVID A GRIFFITH
3107,-80.00000000000001,FARHANG  POURBOGHRAT
3108,-80.00000000000001,THOMAS  BIELER
3109,-80.625,VENKATESH  KODUR
3110,-88.47835357203498,LESLIE A COMBS
3111,-75.0,CINZIA  ARRUZZA
3112,-75.0,JAMES  BLACHOWICZ
3113,-87.46911743363202,STEPHEN  LACY
3114,-86.18669809859479,EFSTRATIA  KALFAGIANNI
3115,-88.47835357203498,SANFORD I NIDICH
3116,-75.0,NELSON  SEPULVEDA
3117,-78.75,ROBERT  CUMMINS
3118,-80.00000000000001,STEVEN M CHERMAK
3119,-88.47835357203498,JOSE  CIBELLI
3120,-85.43926806768745,CHARLES  BALLARD
3121,-86.18669809859479,MILIND V KHIRE
3122,-75.0,JOHN  GODDEERIS
3123,-75.0,AARON  JAMES
3124,-84.59115650703554,FRANK  GUNDERSON
3125,-75.0,MICHEL  SEYMOUR
3126,-81.75,MARA  HELMUTH
3127,-80.00000000000001,FATHI M SALEM
3128,-80.00000000000001,MICHAEL D KAPLOWITZ
3129,-75.0,DANIEL Z KORMAN
3130,-75.0,KRISTEN  HESSLER
3131,-75.0,ROBERT  BENARD
3132,-83.42081854683654,JAMES  WOELFEL
3133,-75.0,CHEN-PANG  YEANG
3134,-75.0,ANDREA  STAITI
3135,-75.0,JEAN-LUC  SOLERE
3136,-75.0,PREMJEET  CHAHAL
3137,-85.43926806768745,STEVE W J KOZLOWSKI
3138,-75.0,FRANCES  EGAN
3139,-75.0,DANIEL  JACOBSON
3140,-80.00000000000001,JONATHAN  WASKAN
3141,-75.0,GERALD R URQUHART
3142,-78.75,ANNE F WYSOCKI
3143,-75.0,JOSEPH  BERKOVITZ
3144,-86.18669809859479,ALEXANDER V ROSPATT
3145,-75.0,DANIELA  LEITNER
3146,-87.44342186310288,CARL T LIRA
3147,-75.0,ALIA  AL-SAJI
3148,-78.75,ANJAN  CHAKRAVARTTY
3149,-75.0,CRAIG  FRASER
3150,-75.0,LLOYD  GERSON
3151,-84.97701099232465,CHRISTINE  TAPPOLET
3152,-88.91617273945633,IAN  WINCHESTER
3153,-80.00000000000001,ADAM  MORTON
3154,-75.0,ARTHUR  KROKER
3155,-75.0,KATHRYN  MORGAN
3156,-75.0,SONIA  SIKKA
3157,-75.0,ANDREW  SNEDDON
3158,-75.0,ANTOINE  COTE
3159,-75.0,YAROSLAV  SENYSHYN
3160,-86.2140177350174,HARVEY  JOANNING
3161,-81.42857142857143,PAUL G HIEBERT
3162,-75.0,NKIRO  NZEGWU
3163,-75.0,KENNAN B OSBORNE
3164,-75.0,VINCENT  TARASCIO
3165,-75.0,JAMES T CUSHING
3166,-75.0,DENIS  LAWRENCE
3167,-89.31187596260708,PAUL  THURSTON
3168,-88.10530187599741,IVAN  KARP
3169,-88.47835357203498,PAUL  BREINES
3170,-75.0,MARK  LEIDERMAN
3171,-75.0,BERNARD P DAUENHAUER
3172,-75.0,WILFRIED  MALSCH
3173,-73.84257358189925,WERNER  HAMACHER
3174,-88.47835357203498,HENT D VRIES
3175,-88.47835357203498,ROY  DELP
3176,-78.75,GUNAPALA  EDIRISOORIYA
3177,-75.0,ROBERT M GIMELLO
3178,-80.00000000000001,RICHARD  QUANTZ
3179,-75.0,TOSHIO  SAWANOBORI
3180,-75.0,J MARVIN SPIEGELMAN
3181,-75.0,RONALD J TESKE
3182,-75.0,TU  WEIMING
3183,-88.91617273945633,JOHN H VAN ENGEN
3184,-75.0,SALLY  SCHOLZ
3185,-78.75,ANDREW  LIGHT
3186,-80.625,TED  WARD
3187,-75.0,CHRISTOPHER C HUDGINS
3188,-78.75,ROBERT E CURRAN
3189,-75.0,BERTEN  ANDRE
3190,-87.44342186310288,CECILE  WHITING
3191,-75.0,CARL  PAGE
3192,-88.10530187599741,GEOFFREY  SYMCOX
3193,-75.0,MALCOLM  QUANTRILL
3194,-88.91617273945633,JACK  BOSS
3195,-75.0,GAIL  SOFFER
3196,-75.0,WILLIAM T BORRIE
3197,-78.75,ELIZABETH  HAGENS
3198,-75.0,BRIAN  LOAR
3199,-75.0,HARRY C AVERY
3200,-75.0,MARY  ABASCAL-HILDEBRAND
3201,-89.15823103886713,AVERIL  MCCLELLAND
3202,-75.0,BAT A BAR ON
3203,-78.75,J PATRICK OLIVELLE
3204,-75.0,CHARLES R KELSER
3205,-75.0,GERALD  REAGAN
3206,-78.75,RODMAN B WEBB
3207,-75.0,TIAN Y CAO
3208,-75.0,GEORGE  WELLWARTH
3209,-75.0,JOHN D FLOYD
3210,-87.44342186310288,WILTON L BARBER
3211,-75.0,IVOR K DAVIES
3212,-75.0,MARY  WISEMAN
3213,-75.0,GENOVEVA  MARTI
3214,-84.1228234667171,NEIL  JUMONVILLE
3215,-75.0,DENNIS M PAYNE
3216,-85.43926806768745,GARY D FENSTERMACHER
3217,-75.0,THOMAS L PRENDERGAST
3218,-87.44342186310288,GRANT D REEHER
3219,-75.0,HERBERT G REID
3220,-88.47835357203498,CAROLYN  TROHOSKI
3221,-75.0,CHARLES F KIELKOPF
3222,-75.0,EUGENE F MILLER
3223,-75.0,ARTHUR  COLLINS
3224,-75.0,RAYMOND F BIRN
3225,-75.0,HAVA  TIROSH-SAMUELSON
3226,-75.0,MILTON  FISK
3227,-75.0,CLIFF  KELLY
3228,-75.0,JOAN A MULLIN
3229,-75.0,ROLAND  POURDAVOOD
3230,-88.47835357203498,NORMAN  LINZER
3231,-88.48578640584341,HANNO  HARDT
3232,-80.00000000000001,RICHARD S KNIGHT
3233,-86.75099594734378,JOHN J MAKAY
3234,-75.0,SY  ALDER
3235,-75.0,RICHARD  GUISSO
3236,-75.0,JAMES V EVRA
3237,-75.0,RAYNALD  VALOIS
3238,-87.44342186310288,KIERAN  EGAN
3239,-78.75,MICHEL  CARBONNEAU
3240,-75.0,MAURICE  LAGUEUX
3241,-75.0,TAB  GUZIE
3242,-88.91617273945633,DEREK  HODSON
3243,-78.75,MIKE  ANDREWS
3244,-75.0,G  MALICKY
3245,-78.75,ROLAND  CASE
3246,-75.0,WAYNE  SUMNER
3247,-75.0,ROBERT M DARAN
3248,-78.75,LESLIE  KAWAMURA
3249,-78.75,O R FAUVEL
3250,-78.75,GUY  LAFRANCE
3251,-86.18669809859479,RAYMOND  MORROW
3252,-75.0,JOSEPH  BOYLE
3253,-81.0,MAURICE  BOUTIN
3254,-75.0,H  LANDOLT
3255,-78.75,MARC  ERESHEFSKY
3256,-75.0,Z  PLANINC
3257,-75.0,DAVID  FATE
3258,-88.47835357203498,LAWRENCE M PRINCIPE
3259,-88.47835357203498,G J BARKER-BENFIELD
3260,-78.75,JAMES  MORONE
3261,-87.44342186310288,MALINI J SCHUELLER
3262,-75.0,WAYNE  AMBLER
3263,-75.0,MARIANO P SIMO
3264,-75.0,SHAUL  COHEN
3265,-75.0,PAUL  DURO
3266,-75.0,SANDRA  LOWERY
3267,-89.31187596260708,EDMUND  AMIDON
3268,-87.44342186310288,MADHU S PRAKASH
3269,-78.75,STEVEN K STRANGE
3270,-88.47835357203498,DENISE D GERACE
3271,-75.0,LAWRENCE  POWERS
3272,-75.0,ANN  FOSTER
3273,-75.0,J RANDALL KOETTING
3274,-88.91617273945633,ALLAN  DITTMER
3275,-75.0,DINA  STEIN
3276,-85.43926806768745,RICHARD R BRETTELL
3277,-75.0,HERBERT  GRANGER
3278,-75.0,VINCENT C PUNZO
3279,-87.44342186310288,ANTHONY  LADEN
3280,-75.0,PATXI  LANCEROS
3281,-75.0,JAMES D PROCTOR
3282,-89.60056921638673,JAMES  MACHELL
3283,-88.47835357203498,TED  MAGDER
3284,-75.0,JOSEPH  MAROLLA
3285,-75.0,OLIVE  BLANCHETTE
3286,-75.0,ERICH J LEAR
3287,-86.18669809859479,MARK E BONDS
3288,-78.75,JERE  SURBER
3289,-78.75,LEX  NEWMAN
3290,-75.0,DAVID  ULANSEY
3291,-81.96141754987843,TERRY  PENNER
3292,-75.0,MARTIN  DONOUGHE
3293,-86.18669809859479,JOY T DESENSI
3294,-87.44342186310288,GARY  LEASE
3295,-87.44342186310288,WALI  AHMADI
3296,-87.44342186310288,JOZSEF  KOVACS
3297,-87.46911743363202,STEPHEN  TCHUDI
3298,-78.75,CONSTANTIN  FOTINAS
3299,-75.0,PAUL  HJARTARSON
3300,-75.0,ELISABETH B GEDGE
3301,-75.0,DANIEL  VOKEY
3302,-86.18669809859479,DAVID  DYZENHAUS
3303,-75.0,RICHARD  BRONAUGH
3304,-75.0,BRAYTON  POLKA
3305,-78.75,DALE  GENTRY
3306,-75.0,SUE  ROBERTS
3307,-78.75,DEBORAH  KERDEMAN
3308,-75.0,BERND R HUPPAUF
3309,-86.18669809859479,NORMAN  GOLB
3310,-85.32422955651678,JOHN  PEPONIS
3311,-75.0,JUDSON C WEBB
3312,-75.0,C DAVID GRUENDER
3313,-75.0,ANTOINE  SPACAGNA
3314,-75.0,DENNIS L SEPPER
3315,-87.44342186310288,ENNIO  RAO
3316,-75.0,DOUGLAS  MACLEAN
3317,-89.15823103886713,RICHARD  HOFMANN
3318,-75.0,WILLIAM  RUDDICK
3319,-87.44342186310288,JEREMY P VARON
3320,-75.0,RAYMOND  DILORENZO
3321,-87.44342186310288,ANNE D MCLUCAS
3322,-78.75,ALDO  ANTONELLI
3323,-86.18669809859479,LANGDON  WINNER
3324,-78.75,LAURA  RUETSCHE
3325,-88.47835357203498,JONATHAN  CRARY
3326,-75.0,ROBERT  FRODEMAN
3327,-87.44342186310288,ANTHONY J PALMER
3328,-75.0,TODD  PENNINGTON
3329,-78.75,ERNEST  WALLWORK
3330,-86.18669809859479,SHEILA  FOURNIER-BONILLA
3331,-80.625,JACK  KEELER
3332,-75.0,IGNATIUS  YACOUB
3333,-75.0,GRANT L CIOFFI
3334,-78.75,DAVID  BRADSHAW
3335,-75.0,EDWARD J HEIST
3336,-78.75,DAVID  GREENHOE
3337,-75.0,NINA  BERMAN
3338,-75.0,RAMON Q MORENO
3339,-75.0,JULIAN C CORDON
3340,-87.44342186310288,PHILIPPE  BUC
3341,-75.0,HUNTER  HEYCK
3342,-85.43926806768745,GERMAIN D LUDWIG
3343,-75.0,RALF  MEERBOTE
3344,-89.31187596260708,RANDALL E ALLSUP
3345,-75.0,DALE  JAMIESON
3346,-78.75,JOHN  KRATUS
3347,-75.0,PHIL  BELLFY
3348,-75.0,HARRO  MUELLER
3349,-87.44342186310288,THERESE-ANNE  DRUART
3350,-86.18669809859479,WILLIAM  ROTHMAN
3351,-75.0,BRIAN  WEATHERSON
3352,-75.0,GERALD  KEOWN
3353,-75.0,LAURENCE  THOMAS
3354,-75.0,MERLIN  SWARTZ
3355,-85.43926806768745,HANS  ADLER
3356,-75.0,DOMINIC  BALESTRA
3357,-75.0,RICK  GREGORY
3358,-80.00000000000001,KIRT H WILSON
3359,-88.48578640584341,JAMES  AUNE
3360,-75.0,CHARLES  SHEPERDSON
3361,-75.0,JAMES H FOARD
3362,-75.0,DAVID  NEMITZ
3363,-87.44342186310288,ANSON G RABINBACH
3364,-75.0,JAY  BOLTER
3365,-78.75,ALBERT  STETZ
3366,-75.0,AARON  SCHUTZ
3367,-75.0,PETER D BATHORY
3368,-75.0,DAVID  SEAMON
3369,-75.0,GREGORY F PAPPAS
3370,-87.46911743363202,WARREN G BRECKMAN
3371,-75.0,TAMARA  ALBERTINI
3372,-86.47530025351037,JOHN  MACHNIC
3373,-86.18669809859479,KONRAD  TUCHSCHERER
3374,-86.18669809859479,BERTHOLD  HOECKNER
3375,-87.44342186310288,FRANZ A KRAGER
3376,-75.0,PAUL  PREZAS
3377,-75.0,NAOMI  RESHOTKO
3378,-78.75,RODERICK H SQUIRES
3379,-87.44342186310288,ELIZABETH D DIGESER
3380,-75.0,ANDREW  MELNYK
3381,-84.59115650703554,MALCOLM  BILSON
3382,-75.0,ERIK  MYIN
3383,-75.0,ANDRE  ARIEW
3384,-75.0,SILVIA  MONTIGLIO
3385,-75.0,VICTOR  CASTON
3386,-75.0,MJ  BISHOP
3387,-87.44342186310288,FRANCIS J AMBROSIO
3388,-75.0,GLADYS B WHITE
3389,-87.44342186310288,CHRIS L S CORYN
3390,-75.0,PAUL  DUGUID
3391,-75.0,DAWN  MEREDITH
3392,-75.0,BRIE  GERTLER
3393,-75.0,KELLY  MCDONALD
3394,-75.0,WARREN  CARTER
3395,-75.0,REINER  WIMMER
3396,-75.0,VOLKER  KAISER
3397,-75.0,PAUL  ZOLBROD
3398,-80.00000000000001,GABRIELA  NOUZEILLES
3399,-75.0,RADU J BOGDAN
3400,-75.0,MICHELE A HANNOOSH
3401,-75.0,ELMER  TOWNS
3402,-75.0,MATTHEW  SCHERTZ
3403,-75.0,AUDRE  DEQUADROS
3404,-87.47598471828103,RICHARD G BOEHM
3405,-75.0,MONTY  MILLER
3406,-87.44342186310288,LARRY N CROOK
3407,-75.0,ALAN C KORS
3408,-87.46911743363202,BRUCE  VANSLEDRIGHT
3409,-75.0,STEVEN G ESTES
3410,-75.0,DOTHANG  TRUONG
3411,-78.75,WILLIAM  GAUDELLI
3412,-75.0,XABIER  IRUJO
3413,-75.0,FRANKLIN  LEWIS
3414,-78.75,ALAN R BUSS
3415,-87.44342186310288,CUDORE L SNELL
3416,-89.15823103886713,DAVID  SALNESS
3417,-75.0,LINDA L BARNES
3418,-75.0,JOHN  MALEE
3419,-75.0,PETER  TRITONAS
3420,-75.0,ROBIN  BRAYNE
3421,-78.75,BARBARA L BROCK
3422,-75.0,ROM H D LITT
3423,-75.0,DEBORAH G MAYO
3424,-75.0,CONNIE  RUSSELL
3425,-75.0,AXEL  GOSSERIES
3426,-75.0,WALTER  GLANNON
3427,-75.0,GAIL  JARDINE
3428,-75.0,JAMIE L MAGNUSSEN
3429,-75.0,DIANNE  GERELUK
3430,-75.0,TOM  HURKA
3431,-78.75,SEAN  BLENKINSOP
3432,-87.44342186310288,DAVID  ZANDVLIET
3433,-78.75,HENRI  BERGSON
3434,-75.0,GEORGE  TURNBULL
3435,-75.0,CHRISTOPHER  CHERNIAK
3436,-75.0,ROSCELIN  DE COMPIEGNE
3437,-75.0,BRUNO OF COLOGNE
3438,-68.87186799304837,MARY  HESSE
3439,-75.0,STEPHEN  MCLEOD
3440,-75.0,JULES  SIMON
3441,-64.715256874874,LESTER  THONSSEN
3442,-87.46911743363202,ALAIN  MILON
3443,-87.73621629062201,JACQUES  POULAIN
3444,-78.75,NICOLAS  TERTULIAN
3445,-87.46911743363202,FRANCOIS  CLEMENTZ
3446,-81.0,ALEXANDRE  MATHERON
3447,-87.44342186310288,FRANCOIS  RIVENC
3448,-85.93280807863513,MONIQUE  CASTILLO
3449,-80.00000000000001,ERIC  FIAT
3450,-75.0,DEBRA  MORRIS
3451,-63.88665451035144,JAMES HARVEY ROBINSON
3452,-75.60080478278903,JAKOB  TAUBES
3453,-76.03557704253737,LOUIS R PONDY
3454,-70.01276527436752,DAVID FATE NORTON
3455,-70.50928466245719,NICOLA  KHURI
3456,-75.0,WOLFE  MAYS
3457,-72.91176251935157,STUART  HAMPSHIRE
3458,-70.01276527436752,ALEXANDER  OF HALES
3459,-69.26608075635113,HAROLD BERNARD ALBERTY
3460,-75.0,VIRGIL  HERRICK
3461,-75.0,JOSE ORTEGA Y GASSET
3462,-74.61942483504468,HANS H FRANKEL
3463,-60.70381534025591,GEORGE F THOMAS
3464,-72.945854208093,LEON  POMPA
3465,-64.23576967920668,GEOFFREY  HUNTER
3466,-66.71308159149251,J E MCGUIRE
3467,-76.88104767405518,L JONATHAN COHEN
3468,-75.0,JACOB GOULD SCHURMAN
3469,-70.01276527436752,NOEL THOMAS ELLISON
3470,-75.0,JOHN  CHARVET
3471,-74.31549851203823,STANLEY  AWRAMIK
3472,-75.0,HOMER EUGENE MASON
3473,-72.0413529462338,HORST W J RITTEL
3474,-75.0,JOSEPH  GAUVIN
3475,-75.0,JOHANNES  CZERMAK
3476,-75.0,VOLKER  HALBACH
3477,-79.98723472563249,MICHAEL  REDHEAD
3478,-73.60959695675339,WALLACE  MATSON
3479,-75.0,ANDY  CLARK
3480,-60.96425080780676,HENRY STEWART MACRAN
3481,-66.75713340170977,GEORGE A SCHRADER
3482,-88.91617273945633,RICHARD  VENGROFF
3483,-86.76494518891376,RICHARD  TUCK
3484,-78.06077987011912,CHARLES  TAYLOR
3485,-90.0,STEVEN  SMITH
3486,-84.9539041551284,GEORGE RAMSAY COOK
3487,-87.44342186310288,MICHAEL  DESCH
3488,-75.0,SEBASTIAN  ROSATO
3489,-75.0,DANIEL  LINDLEY
3490,-88.48578640584341,DONALD J PUCHALA
3491,-78.75,TIMOTHY J MCKEOWN
3492,-88.47835357203498,DONALD  HAIDER-MARKEL
3493,-87.44342186310288,MARIAN  PALLEY
3494,-75.0,ALFONSO J DAMICO
3495,-86.75099594734378,MARK  CRESCENZI
3496,-87.44342186310288,COLIN  DUECK
3497,-85.43926806768745,JOHN P WILLERTON
3498,-87.46911743363202,RUSSELL L HANSON
3499,-86.97347918342751,MIROSLAV  NINCIC
3500,-85.43926806768745,CLAUDE  WELCH
3501,-87.44342186310288,DENNIS  CHONG
3502,-76.56330168177331,GERALD C WRIGHT
3503,-86.75099594734378,MICHAEL D MCGINNIS
3504,-80.00000000000001,MARSHALL  BERMAN
3505,-75.0,RUTH  O'BRIEN
3506,-87.44342186310288,JAMES  ADAMS
3507,-86.18669809859479,CLARK C GIBSON
3508,-75.0,KAREN  FERREE
3509,-85.79737235282633,KAREN  REMMER
3510,-78.75,BRUCE W JENTLESON
3511,-80.00000000000001,ROLAND  PARIS
3512,-88.47835357203498,ANN  CRIGLER
3513,-78.75,JEFFREY  SEDGWICK
3514,-78.75,KEITH L SHIMKO
3515,-84.94374174950634,JOSEPH  GRIECO
3516,-84.59115650703554,RUTH  GRANT
3517,-88.47835357203498,MICHAEL  MUNGER
