,average tilted,name
141,-85.19298503293354,RICHARD J ZECKHAUSER
142,-75.0,BESHARA  DOUMANI
143,-87.44342186310288,DIANE  KIRKPATRICK
144,-87.44342186310288,CLAUDIA  LAZZARO
145,-88.48578640584341,CATHY D MATSON
146,-80.00000000000001,JEREMY  ATACK
147,-90.0,HANS U GUMBRECHT
148,-87.47910611330902,TYLER  COWEN
149,-75.0,LINDA  KEALEY
150,-71.21923503194664,VERNER WINSLOW CRANE
151,-84.94374174950634,ROBERT L TIGNOR
152,-80.00000000000001,DAVID B LURIE
153,-75.0,ALLAN R MILLETT
154,-81.42857142857143,RICHARD  STITES
155,-80.00000000000001,BRUCE  KUKLICK
156,-88.49690765887613,CYNTHIA  HERRUP
157,-87.46911743363202,PETER  HITCHCOCK
158,-78.75,DONALD GRANT CREIGHTON
159,-75.0,HENRY  SIGERIST
160,-87.44342186310288,MAURICIO  TENORIO-TRILLO
161,-84.97701099232465,JAMES  RETALLACK
162,-70.01276527436752,VIVIAN  GALBRAITH
163,-75.24219202933743,BARBARA GUTMANN ROSENKRANTZ
164,-75.0,JUDITH  SMITH
165,-77.91437313327584,LEOPOLD H HAIMSON
166,-75.0,ANDREW  PRESTON
167,-75.0,SYDNEY K MITCHELL
168,-71.4856512828672,ALLAN  NEVINS
169,-80.57387257868062,PETER  HEDSTROM
170,-85.43926806768745,TOUFIC  FAHD
171,-75.0,CREIGHTON  GILBERT
172,-75.0,NARCISO  MENOCAL
173,-78.75,JUDITH  COLTON
174,-75.0,WILLIAM R BIERS
175,-75.0,KATHLEEN  JAMES-CHAKRABORTY
176,-75.0,JOSE A BARRIO LOZA
177,-88.47835357203498,SYLVIA  LAVIN
178,-87.44342186310288,MARIA I ALVARO ZAMORA
179,-78.75,MARIA A VIRGILI BLANQUET
180,-78.75,JUAN R AGULLO
181,-75.0,DAVID M SCOBEY
182,-75.0,ROBERT  BRUEGMANN
183,-75.0,VICENTE B GIMENEZ
184,-75.0,CHANTAL M HARDY
185,-87.44342186310288,JULIA  BRYAN-WILSON
186,-80.00000000000001,KIRK  SAVAGE
187,-75.0,DANILO  UDOVICKI
188,-75.0,SARAH  MCPHEE
189,-75.0,KARAL A MARLING
190,-75.0,HANNAH  FELDMAN
191,-75.0,ELLA  SHOHAT
192,-75.0,JILL  CASKEY
193,-88.47835357203498,MATTHEW  BAIGELL
194,-75.0,CONSTANCIO C JAMENO
195,-87.44342186310288,TOM  CUMMINS
196,-75.0,JAMES C FOUST
197,-75.0,THEODORE  RICCARDI
198,-78.75,DONALD L PARMAN
199,-82.43531653067923,GEORGE N HELLER
200,-75.0,DANIEL  GARGOLA
201,-87.44342186310288,ALFRED A ARTH
202,-75.0,KENNETH  ZAGACKI
203,-75.0,HENRY  SNYDER
204,-75.0,GEORGE  BERNSTEIN
205,-87.44342186310288,MICHAEL J STREIBEL
206,-75.0,PAUL H CARLSON
207,-87.44342186310288,NORMAN J GODA
208,-87.46911743363202,DARHYL  RAMSEY
209,-75.0,BRUCE B SOLNICK
210,-75.0,JOHN  HEINEMAN
211,-78.75,ANTHONY  NEWCOMB
212,-67.20069036768231,GERHARD  WEINBERG
213,-75.0,GERALD L GUTEK
214,-75.0,ALTON  DONNELLY
215,-75.0,GEORG  MICHELS
216,-80.625,MYRON D WELCH
217,-75.0,BRADFORD  LUCKINGHAM
218,-75.0,JANE  BURBANK
219,-75.0,JUDITH R GINSBURG
220,-75.0,TOM  ERB
221,-75.0,JOSEPH  REIDY
222,-75.0,JOHN A M ROTHNEY
223,-75.0,EMORY M THOMAS
224,-75.0,DARRELL E LEVI
225,-75.0,WHITMAN H RIDGWAY
226,-75.0,J M W BEAN
227,-75.0,JOSEPH  BYRNES
228,-75.0,D W KRUMMEL
229,-78.75,HENRY J PERKINSON
230,-75.0,VIRGINIA  GARRARD-BURNETT
231,-80.625,ANGELA  CREAGER
232,-75.0,JOSEPH G DAWSON
233,-75.0,MARK  GRIMSLEY
234,-75.0,KEITH R BENSON
235,-75.0,DAVID  SYRETT
236,-75.0,ANGEL G SANZ-MARCOTEGUI
237,-75.0,MIREILLE D CASTELLI
238,-75.0,JOHN S BROWNLEE
239,-75.0,JACQUES  ROUILLARD
240,-75.0,ROBERT K BARNEY
241,-75.0,RICHARD J HELMSTADTER
242,-75.0,MAURICE  CHARLAND
243,-75.0,D  WANGLER
244,-75.0,ROBERT  KUBICEK
245,-78.75,B  FAIRBAIRN
246,-75.0,L A KNAFLA
247,-75.0,OTHMAR  KEEL
248,-75.0,DUNCAN  MCDOWALL
249,-80.00000000000001,DON  MORROW
250,-75.0,PAUL  ANTZE
251,-78.60141512140586,PAUL F GRENDLER
252,-75.0,ANDREW  RESSOS
253,-75.0,MICHAEL  PERCEVAL-MAXWELL
254,-75.0,ELIZABETH  EWAN
255,-75.0,G N HILLMER
256,-87.44342186310288,R A REMPEL
257,-75.0,CLAIRE  DOLAN
258,-75.0,MARC  ST-HILAIRE
259,-75.0,JEAN-PIERRE  WALLOT
260,-87.44342186310288,ARTHUR  STINNER
261,-78.75,GERALD A FRIESEN
262,-75.0,RENEO  LUKIC
263,-75.0,YVES  LANDRY
264,-75.0,RONALD  HAYCOCK
265,-78.75,JULIUS  KIRSHNER
266,-75.0,GERALD  MCFARLAND
267,-78.75,ELISABETH  LASCH-QUINN
268,-75.0,ROBERT M IRLEAND
269,-75.0,JOSEPH F O'CALLAGHAN
270,-75.0,BRETT  GARY
271,-75.0,GEOFFREY  JENSEN
272,-75.0,ROBERT  MCCOLLEY
273,-75.0,DULCIE  STRAUGHAN
274,-75.0,CARLOS P CALVO
275,-75.0,ALAN  BOEGEHOLD
276,-78.75,KERBY  MILLER
277,-75.0,HARRY A REED
278,-78.75,CHARLES E CAUDILL
279,-75.0,DOUGLAS  GOMERY
280,-78.75,JEFFREY  BURDS
281,-75.0,MEREDITH  VELDMAN
282,-75.0,THEOFANIS G STARVROU
283,-75.0,I A NEWBY
284,-75.0,VICTOR  HILTS
285,-75.0,PAUL  SONNINO
286,-75.0,JERRY Z MULLER
287,-75.0,DANA L ALDEN
288,-75.0,ROBERT G OUSTERHOUT
289,-75.0,STEPHEN L MCFARLAND
290,-75.0,ANDREW O WOLPERT
291,-75.0,HOWARD P LOUTHAN
292,-75.0,MORIKI  TERADA
293,-75.0,BENJAMIN  BRAUDE
294,-75.0,ATIENO  ODHIAMBO
295,-75.0,JUAN J CARRERAS ARES
296,-75.0,JULIAN C RUIZ
297,-75.0,ALFRED C MIERZEJEWSKI
298,-85.43926806768745,JOSEPH  BABER
299,-75.0,DIANA  HALLMAN
300,-75.0,GERALD F LEONARD
301,-75.0,BERNARDO  GALLEGOS
302,-75.0,DENIS  PAZ
303,-78.75,MICHAEL  CHAMBERLAIN
304,-75.0,CYNTHIA M LAWRENCE
305,-75.0,ALBERT  LEBLANC
306,-86.18669809859479,STEPHEN J HARTNETT
307,-75.0,LILLIAN  HODDESON
308,-75.0,GARY M HAMBURG
309,-75.0,MARIA  BUCUR-DECKARD
