y,comp-1,comp-2,label
0,17.770771,22.569384,ICASSP(Signal Processing)
0,8.792791,12.389787,ICASSP(Signal Processing)
0,38.7017,1.4199864,ICASSP(Signal Processing)
0,-9.312829,10.534725,ICASSP(Signal Processing)
0,-9.072332,9.473129,ICASSP(Signal Processing)
0,-9.162022,9.449288,ICASSP(Signal Processing)
0,-9.090327,10.049998,ICASSP(Signal Processing)
0,-33.002304,15.66749,ICASSP(Signal Processing)
0,15.940853,20.516272,ICASSP(Signal Processing)
0,-9.556439,10.9708805,ICASSP(Signal Processing)
0,15.407492,9.675513,ICASSP(Signal Processing)
0,34.394634,-2.597019,ICASSP(Signal Processing)
0,-34.60862,-1.6487539,ICASSP(Signal Processing)
0,39.907112,9.999176,ICASSP(Signal Processing)
0,15.858391,23.17805,ICASSP(Signal Processing)
0,-8.735108,10.565151,ICASSP(Signal Processing)
0,37.206154,3.002782,ICASSP(Signal Processing)
0,8.732349,-11.723011,ICASSP(Signal Processing)
0,-9.161229,9.64792,ICASSP(Signal Processing)
0,39.79764,7.5669065,ICASSP(Signal Processing)
0,16.2962,10.122707,ICASSP(Signal Processing)
0,-8.72117,10.626801,ICASSP(Signal Processing)
0,36.14891,5.331526,ICASSP(Signal Processing)
0,-9.151849,9.6750965,ICASSP(Signal Processing)
0,-9.533025,10.144639,ICASSP(Signal Processing)
0,-9.440184,11.079168,ICASSP(Signal Processing)
0,16.220396,10.38772,ICASSP(Signal Processing)
0,-10.2567425,11.282435,ICASSP(Signal Processing)
0,30.366238,18.006504,ICASSP(Signal Processing)
0,-30.340757,7.781044,ICASSP(Signal Processing)
0,-38.26923,8.408132,ICASSP(Signal Processing)
0,-13.263418,15.664414,ICASSP(Signal Processing)
0,-9.58119,11.6621065,ICASSP(Signal Processing)
0,-8.964691,11.435556,ICASSP(Signal Processing)
0,-4.306474,14.920448,ICASSP(Signal Processing)
0,15.896624,9.693954,ICASSP(Signal Processing)
0,-8.852648,10.5789,ICASSP(Signal Processing)
0,8.796315,12.400312,ICASSP(Signal Processing)
0,14.179362,31.518051,ICASSP(Signal Processing)
0,-9.024572,9.733178,ICASSP(Signal Processing)
0,-10.122422,9.285898,ICASSP(Signal Processing)
0,8.777613,24.455069,ICASSP(Signal Processing)
0,34.64065,-3.0119243,ICASSP(Signal Processing)
0,-9.449529,11.191111,ICASSP(Signal Processing)
0,0.1888164,40.098705,ICASSP(Signal Processing)
0,9.9355135,-9.805058,ICASSP(Signal Processing)
0,2.3704522,8.945424,ICASSP(Signal Processing)
0,-9.153228,9.439037,ICASSP(Signal Processing)
0,38.00444,-0.7447763,ICASSP(Signal Processing)
0,17.498398,14.984181,ICASSP(Signal Processing)
0,39.306984,-1.0415453,ICASSP(Signal Processing)
0,-3.2181046,21.397884,ICASSP(Signal Processing)
0,37.154854,2.6968596,ICASSP(Signal Processing)
0,12.4922695,8.169664,ICASSP(Signal Processing)
0,-12.768469,-38.045597,ICASSP(Signal Processing)
0,-9.674284,10.871746,ICASSP(Signal Processing)
0,-9.174759,9.724877,ICASSP(Signal Processing)
0,34.70921,11.494044,ICASSP(Signal Processing)
0,-8.859409,10.344035,ICASSP(Signal Processing)
0,-10.164623,9.980935,ICASSP(Signal Processing)
0,17.74459,20.543142,ICASSP(Signal Processing)
0,-9.100927,21.085262,ICASSP(Signal Processing)
0,37.762447,9.177151,ICASSP(Signal Processing)
0,38.872433,-1.2569629,ICASSP(Signal Processing)
0,-38.3058,-11.102137,ICASSP(Signal Processing)
0,-7.5494657,11.41331,ICASSP(Signal Processing)
0,36.7779,11.013215,ICASSP(Signal Processing)
0,-37.770203,7.347646,ICASSP(Signal Processing)
0,-30.794363,-17.269604,ICASSP(Signal Processing)
0,-8.716999,10.573581,ICASSP(Signal Processing)
0,25.25573,10.706127,ICASSP(Signal Processing)
0,10.346172,16.625992,ICASSP(Signal Processing)
0,21.471186,13.744233,ICASSP(Signal Processing)
0,-9.054518,11.578296,ICASSP(Signal Processing)
0,-9.027612,9.795947,ICASSP(Signal Processing)
0,-20.32021,-1.6768365,ICASSP(Signal Processing)
0,15.667881,9.80748,ICASSP(Signal Processing)
0,29.674568,17.426046,ICASSP(Signal Processing)
0,31.042086,17.797619,ICASSP(Signal Processing)
0,-39.562668,0.39511117,ICASSP(Signal Processing)
0,17.653337,28.911705,ICASSP(Signal Processing)
0,-10.092411,2.119906,ICASSP(Signal Processing)
0,34.236217,16.235762,ICASSP(Signal Processing)
0,16.28943,10.241846,ICASSP(Signal Processing)
0,9.2753725,7.737813,ICASSP(Signal Processing)
0,12.344389,7.963886,ICASSP(Signal Processing)
0,39.974697,7.5089946,ICASSP(Signal Processing)
0,-29.256506,-15.57574,ICASSP(Signal Processing)
0,27.260685,-8.361907,ICASSP(Signal Processing)
0,39.97762,10.099324,ICASSP(Signal Processing)
0,3.2147706,35.353554,ICASSP(Signal Processing)
0,-38.014774,8.695547,ICASSP(Signal Processing)
0,22.108585,28.136208,ICASSP(Signal Processing)
0,-4.4323044,16.294819,ICASSP(Signal Processing)
0,-34.469097,-1.6615969,ICASSP(Signal Processing)
0,34.50793,-2.2040715,ICASSP(Signal Processing)
0,-8.791443,10.606685,ICASSP(Signal Processing)
0,15.89943,19.116291,ICASSP(Signal Processing)
0,-9.665196,10.0734825,ICASSP(Signal Processing)
0,3.149513,35.373165,ICASSP(Signal Processing)
0,39.331707,2.8910625,ICASSP(Signal Processing)
0,23.563179,11.095158,ICASSP(Signal Processing)
0,33.672897,18.265894,ICASSP(Signal Processing)
0,17.18594,30.418741,ICASSP(Signal Processing)
