,ave_degree,width,height,average_curve,max_curve,name
0,-89.05363609670177,0.5176380902050415,1.0,0.0,0.0,RICHARD  VENGROFF
1,-86.76494518891376,0.5176380902050415,0.9998476951563913,0.0,0.0,RICHARD  TUCK
2,-90.0,0.5176380902050415,0.9993007047883985,0.0,0.0,STEVEN  SMITH
3,-87.38023657769531,1.278553594505936,2.965925826289068,0.015987593825365076,0.08607903438471966,GEORGE RAMSAY COOK
4,-87.44342186310288,0.5176380902050415,0.9914448613738104,0.0,0.0,MICHAEL  DESCH
5,-75.0,0.25881904510252074,0.9659258262890683,0.0,0.0,SEBASTIAN  ROSATO
6,90.0,0.5176380902050415,0.9978589232386035,0.0,0.0,GARY  GOERTZ
7,-75.0,0.25881904510252074,0.9659258262890683,0.0,0.0,DANIEL  LINDLEY
8,90.0,0.5176380902050415,1.0,0.0,0.0,JEREL  ROSATI
9,-89.16430041436325,0.5176380902050415,1.0,0.0,0.0,DONALD J PUCHALA
10,90.0,0.5176380902050415,0.9986295347545738,0.0,0.0,MATTHEW S SHUGART
11,-82.50000000000001,0.25881904510252074,1.0,0.0,0.0,TIMOTHY J MCKEOWN
12,90.0,0.5176380902050415,1.0,0.0,0.0,HOWARD  GILLMAN
13,-88.7359798305557,0.5176380902050415,1.0,0.0,0.0,DONALD  HAIDER-MARKEL
14,90.0,0.5176380902050415,0.9659258262890683,0.0,0.0,CHAD L WESTERLAND
15,-88.73763034524686,0.5176380902050415,1.0,0.0,0.0,MARIAN  PALLEY
16,88.09449974587119,0.5176380902050415,1.0,0.0,0.0,PAULETTE  KURZER
17,-75.0,0.25881904510252074,0.9659258262890683,0.0,0.0,ALFONSO J DAMICO
18,-86.75099594734378,0.5176380902050415,0.9986295347545738,0.0,0.0,MARK  CRESCENZI
19,87.09265626109573,0.5176380902050415,0.9995769500822006,0.0,0.0,JONATHAN  HARTLYN
20,-87.44342186310288,0.5176380902050415,0.9914448613738104,0.0,0.0,COLIN  DUECK
21,89.24358463140707,0.5176380902050415,1.0,0.0,0.0,SUSAN E CLARKE
22,-84.94374174950634,0.5176380902050415,0.9986295347545738,0.0,0.0,JOHN P WILLERTON
23,-87.46911743363202,0.5176380902050415,0.9978589232386035,0.0,0.0,RUSSELL L HANSON
24,-86.97347918342751,0.5176380902050415,0.9993007047883985,0.0,0.0,MIROSLAV  NINCIC
25,-87.73861091024406,0.5176380902050415,1.0,0.0,0.0,CLAUDE  WELCH
26,-88.48133289297716,0.5176380902050415,1.0,0.0,0.0,DENNIS  CHONG
27,-77.02931412762713,1.0176380902050415,1.9659258262890682,0.00034228402337411026,0.0015928755213018512,GERALD C WRIGHT
28,-86.75099594734378,0.5176380902050415,0.9986295347545738,0.0,0.0,MICHAEL D MCGINNIS
29,-80.00000000000001,0.25881904510252074,0.9961946980917455,0.0,0.0,MARSHALL  BERMAN
30,75.0,0.25881904510252074,0.9659258262890683,0.0,0.0,JOHN H MOLLENKOPT
31,88.48896043467983,0.5176380902050415,1.0,0.0,0.0,SUSAN L WOODWARD
32,-75.0,0.25881904510252074,0.9659258262890683,0.0,0.0,RUTH  O'BRIEN
33,86.75099594734378,0.5176380902050415,0.9986295347545738,0.0,0.0,KATHLEEN  THELEN
34,90.0,0.5176380902050415,0.9914448613738104,0.0,0.0,MARK  KANN
35,87.44342186310288,0.5176380902050415,0.9914448613738104,0.0,0.0,GEORGE  ANDREOPOULOS
36,-87.44342186310288,0.5176380902050415,0.9914448613738104,0.0,0.0,JAMES  ADAMS
37,87.92403055241505,0.5176380902050415,1.998601409576797,0.0,0.0,GARY  COPELAND
38,-86.18669809859479,0.5176380902050415,0.9961946980917455,0.0,0.0,CLARK C GIBSON
39,86.18669809859479,0.5176380902050415,0.9961946980917455,0.0,0.0,KAREN  RASLER
40,-86.22230581465423,0.5176380902050415,1.0,0.0,0.0,KAREN  REMMER
41,-78.75,0.25881904510252074,0.9914448613738104,0.0,0.0,BRUCE W JENTLESON
42,90.0,0.5176380902050415,1.0,0.0,0.0,MARY  HERRING
43,-80.00000000000001,0.25881904510252074,0.9961946980917455,0.0,0.0,ROLAND  PARIS
44,90.0,0.5176380902050415,1.0,0.0,0.0,JAMES  MCCANN
45,-88.91900997603229,0.5176380902050415,1.0,0.0,0.0,ANN  CRIGLER
46,82.50000000000001,0.25881904510252074,1.0,0.0,0.0,MILADA A VACHUDOVA
47,78.75,0.25881904510252074,0.9914448613738104,0.0,0.0,CATHARINE  NEWBURY
48,-78.75,0.25881904510252074,0.9914448613738104,0.0,0.0,JEFFREY  SEDGWICK
49,90.0,0.0,1.0,0.0,0.0,ERIK S HERRON
50,90.0,0.5176380902050415,1.0,0.0,0.0,JANELLE  WONG
51,75.0,0.25881904510252074,0.9659258262890683,0.0,0.0,SUZANNE L PARKER
52,-78.75,0.25881904510252074,0.9914448613738104,0.0,0.0,KEITH L SHIMKO
53,75.0,0.25881904510252074,0.9659258262890683,0.0,0.0,UDAI  DESAI
54,84.6121133511939,0.5176380902050415,0.9997620270799091,0.0,0.0,ALISON D RENTELN
55,88.7359798305557,0.5176380902050415,1.0,0.0,0.0,DOUG  GOODMAN
56,87.1746195676157,0.5176380902050415,1.0,0.0,0.0,IRVING L MARKOVITZ
57,90.0,0.5176380902050415,0.9659258262890683,0.0,0.0,PETER E DIGESER
58,-85.674487476289,0.5176380902050415,1.0,0.0,0.0,JOSEPH  GRIECO
59,-85.27425604662922,0.5176380902050415,1.0,0.0,0.0,RUTH  GRANT
60,-88.47835357203498,0.5176380902050415,0.9961946980917455,0.0,0.0,MICHAEL  MUNGER
61,90.0,0.5176380902050415,0.9659258262890683,0.0,0.0,WILLIAM T MISHLER
62,75.0,0.25881904510252074,0.9659258262890683,0.0,0.0,PETER A SWENSON
63,87.46911743363202,0.5176380902050415,0.9978589232386035,0.0,0.0,LINDA  ZERILLI
64,-88.47835357203498,0.5176380902050415,0.9961946980917455,0.0,0.0,DENIS J SULLIVAN
65,89.24434112752057,0.5176380902050415,0.9997167946931291,0.0,0.0,EVELYNE  HUBER
66,-82.50000000000001,0.25881904510252074,1.0,0.0,0.0,EDWARD J CLYNCH
67,-78.75,0.25881904510252074,0.9914448613738104,0.0,0.0,CHARLES D KENNEY
68,88.80824934963267,0.5176380902050415,1.0,0.0,0.0,MICHAEL  FRAZIER
69,-80.00000000000001,0.25881904510252074,0.9961946980917455,0.0,0.0,JULIET  KAARBO
70,90.0,0.5176380902050415,1.0,0.0,0.0,MIKE M MOCHIZUKI
71,-85.01276527436752,0.25881904510252074,1.0,0.0,0.0,JOYCE  GELB
72,84.59115650703554,0.5176380902050415,0.9990482215818578,0.0,0.0,MARILYN  GITTELL
73,-86.75099594734378,0.5176380902050415,0.9986295347545738,0.0,0.0,FRED  PEARSON
74,-85.43926806768745,0.5176380902050415,0.9978589232386035,0.0,0.0,ROBERT L CLINTON
75,-84.71549648796923,0.5176380902050415,1.0,0.0,0.0,JAMES  LEBOVIC
76,-75.0,0.25881904510252074,0.9659258262890683,0.0,0.0,STEVEN P ERIE
77,-88.91617273945633,0.5176380902050415,0.9978589232386035,0.0,0.0,LISA J DISCH
78,-87.44342186310288,0.5176380902050415,0.9914448613738104,0.0,0.0,SHELDON  GOLDMAN
79,75.0,0.25881904510252074,0.9659258262890683,0.0,0.0,ERIC S EINHORN
80,-86.56301467056986,0.5176380902050415,0.9994645874763657,0.0,0.0,NICHOLAS  XENOS
81,90.0,0.5176380902050415,0.9914448613738104,0.0,0.0,VIRGINIA  GRAY
82,-78.75,0.25881904510252074,0.9914448613738104,0.0,0.0,JENNIFER  WOLAK
83,90.0,0.0,1.0,0.0,0.0,MICHAELE  FERGUSON
84,-78.75,0.25881904510252074,0.9914448613738104,0.0,0.0,SCOTT  ADLER
85,-82.50000000000001,0.25881904510252074,1.0,0.0,0.0,THOMAS J VOLGY
86,-75.0,0.25881904510252074,0.9659258262890683,0.0,0.0,KEITH  SNAVELY
87,-89.05363609670177,0.5176380902050415,1.0,0.0,0.0,SCOTT  MCCLURG
88,90.0,0.5176380902050415,0.9961946980917455,0.0,0.0,DAVID  SAMUELS
89,86.18669809859479,0.5176380902050415,0.9961946980917455,0.0,0.0,JULIO  CARRION
90,90.0,0.5176380902050415,1.0,0.0,0.0,ALICE  BA
91,-75.0,0.25881904510252074,0.9659258262890683,0.0,0.0,MATTHEW J HOFFMANN
92,82.50000000000001,0.25881904510252074,1.0,0.0,0.0,ELIZ  SANASARIAN
93,-87.47910611330902,0.5176380902050415,0.9994645874763657,0.0,0.0,JOHN  BRIGHAM
94,-86.20953809526887,0.5176380902050415,1.0,0.0,0.0,BRUCE  BIMBER
95,-85.43926806768745,0.5176380902050415,0.9978589232386035,0.0,0.0,MICHAEL  MACKUEN
96,-88.131423106398,1.0176380902050415,1.831951230073507,0.00015928755213018446,0.0015928755213018447,TRACY B STRONG
97,-75.0,0.25881904510252074,0.9659258262890683,0.0,0.0,HARVEY S GOLDMAN
98,-86.18669809859479,0.5176380902050415,0.9961946980917455,0.0,0.0,HENDRIK  SPRUYT
99,-87.83588530348659,0.5176380902050415,1.0,0.0,0.0,CHRISTOPHER  BOSSO
100,-86.96124691721232,0.5176380902050415,1.0,0.0,0.0,DANIEL J TICHENOR
101,-78.75,0.25881904510252074,0.9914448613738104,0.0,0.0,SUSAN  LAWRENCE
102,82.50000000000001,0.25881904510252074,1.0,0.0,0.0,JANE  JUNN
103,90.0,0.5176380902050415,0.9659258262890683,0.0,0.0,DAVID A ROCHEFORT
104,89.41906380056959,0.5176380902050415,1.0,0.0,0.0,WILLIAM S RENO
105,82.50000000000001,0.25881904510252074,1.0,0.0,0.0,CINDY S ROSENTHAL
106,-87.44342186310288,0.5176380902050415,0.9914448613738104,0.0,0.0,JONATHAN S KRASNO
107,-82.50000000000001,0.25881904510252074,1.0,0.0,0.0,JOHN R HIBBING
108,89.3132231778265,0.5176380902050415,1.0,0.0,0.0,MARY G DIETZ
109,90.0,0.5176380902050415,0.9961946980917455,0.0,0.0,MARK  TOMPKINS
110,-78.75,0.25881904510252074,0.9914448613738104,0.0,0.0,LEAH  WILDS
111,87.44342186310288,0.5176380902050415,0.9914448613738104,0.0,0.0,ANDREA  BONNICKSEN
112,85.674487476289,0.5176380902050415,1.0,0.0,0.0,NORA  HAMILTON
113,80.625,0.25881904510252074,0.9978589232386035,0.0,0.0,STANLEY  ROSEN
114,-75.0,0.25881904510252074,0.9659258262890683,0.0,0.0,JOHN E BARNES
115,82.50000000000001,0.25881904510252074,1.0,0.0,0.0,PATRICIA A BOLING
116,-82.50000000000001,0.25881904510252074,1.0,0.0,0.0,SUSAN K SELL
117,-86.20953809526887,0.5176380902050415,1.0,0.0,0.0,RICHARD  DEEG
118,90.0,0.5176380902050415,1.0,0.0,0.0,ROBERT  ROHRSCHNEIDER
119,88.47835357203498,0.5176380902050415,0.9961946980917455,0.0,0.0,EDWARD  CARMINES
120,88.47835357203498,0.5176380902050415,0.9961946980917455,0.0,0.0,ROBERT W JACKMAN
121,-87.44342186310288,0.5176380902050415,0.9914448613738104,0.0,0.0,TIMOTHY  BLEDSOE
122,-78.75,0.25881904510252074,0.9914448613738104,0.0,0.0,ROBERTO  ALEJANDRO
123,-88.91617273945633,0.5176380902050415,0.9978589232386035,0.0,0.0,LORENZO  MORRIS
124,75.0,0.25881904510252074,0.9659258262890683,0.0,0.0,ROBERT  RAUCHHAUS
125,85.01276527436752,0.25881904510252074,1.0,0.0,0.0,ALAN P L LIU
126,-80.625,0.25881904510252074,0.9978589232386035,0.0,0.0,SARAH  BINDER
127,-82.50000000000001,0.25881904510252074,1.0,0.0,0.0,EMERSON  NIOU
128,-85.43926806768745,0.5176380902050415,0.9978589232386035,0.0,0.0,HERBERT  KITSCHELT
129,90.0,0.5176380902050415,0.9914448613738104,0.0,0.0,JEFF S HALEV
130,-86.20953809526887,0.5176380902050415,1.0,0.0,0.0,GEORGE  RABINOWITZ
131,-75.0,0.25881904510252074,0.9659258262890683,0.0,0.0,TOM  CARSEY
132,90.0,0.5176380902050415,0.9914448613738104,0.0,0.0,DAVID  LEBLANG
133,90.0,0.5176380902050415,0.9659258262890683,0.0,0.0,ROBERT T NAKAMURA
134,-86.18669809859479,0.5176380902050415,0.9961946980917455,0.0,0.0,SVEN  STEINMO
135,87.44342186310288,0.5176380902050415,0.9914448613738104,0.0,0.0,MALA  HTUN
136,87.79869211006186,0.5176380902050415,1.0,0.0,0.0,DAVID  PLOTKE
137,89.52779429550678,0.5176380902050415,1.0,0.0,0.0,VICTORIA  HATTAM
138,88.09449974587119,0.5176380902050415,1.0,0.0,0.0,ELIZABETH  THEISS-MORSE
139,88.09449974587119,0.5176380902050415,1.0,0.0,0.0,SARA  MONOSON
140,88.66793761340017,0.5176380902050415,1.0,0.0,0.0,ANDREW B WACHTEL
141,88.09449974587119,0.5176380902050415,1.0,0.0,0.0,CECELIA  LYNCH
142,-75.0,0.25881904510252074,0.9659258262890683,0.0,0.0,DOUGLAS K MADSEN
143,87.44342186310288,0.5176380902050415,0.9914448613738104,0.0,0.0,BEN K FRED-MENSAH
144,82.50000000000001,0.25881904510252074,1.0,0.0,0.0,MAURICE C WOODARD
145,88.91900997603229,0.5176380902050415,1.0,0.0,0.0,IRENE  RUBIN
146,-81.0,0.25881904510252074,0.9986295347545738,0.0,0.0,GARY D GLENN
147,90.0,0.5176380902050415,1.0,0.0,0.0,KURT  THURMAIER
148,-87.87215352810364,0.25881904510252074,1.0,0.0,0.0,DANIEL  UNGER
149,-88.09449974587119,0.5176380902050415,1.0,0.0,0.0,PHILIP R ABBOTT
150,-85.50928466245718,0.25881904510252074,1.0,0.0,0.0,PATRICK M REGAN
151,-87.83588530348659,0.5176380902050415,1.0,0.0,0.0,MARTHA  FINNEMORE
152,75.0,0.25881904510252074,0.9659258262890683,0.0,0.0,THOMAS F REMINGTON
153,-75.0,0.25881904510252074,0.9659258262890683,0.0,0.0,JAMES F SPRIGGS
154,86.18669809859479,0.5176380902050415,0.9961946980917455,0.0,0.0,JAMES G GOLDGEIER
155,90.0,0.0,1.0,0.0,0.0,TIANJIAN  SHI
156,-86.18669809859479,0.5176380902050415,0.9961946980917455,0.0,0.0,DONALD L HOROWITZ
157,75.0,0.25881904510252074,0.9659258262890683,0.0,0.0,RICHARD E MATLAND
158,-85.43926806768745,0.5176380902050415,0.9978589232386035,0.0,0.0,VINCENT A MAHLER
159,78.75,0.25881904510252074,0.9914448613738104,0.0,0.0,SHARON L WOLCHIK
160,90.0,0.5176380902050415,0.9659258262890683,0.0,0.0,REY  KOSLOWSKI
161,-88.10984014281915,0.5176380902050415,1.0,0.0,0.0,J PETER EUBEN
162,90.0,0.5176380902050415,0.9659258262890683,0.0,0.0,ROMAND  COLES
163,89.05363609670177,0.5176380902050415,1.0,0.0,0.0,DONALD R SONGER
164,-78.75,0.25881904510252074,0.9914448613738104,0.0,0.0,DAVID  REDLAWSK
165,-85.43926806768745,0.5176380902050415,0.9978589232386035,0.0,0.0,RICHARD  DEKMEJIAN
166,-86.56301467056986,0.5176380902050415,0.9994645874763657,0.0,0.0,RUTH B COLLIER
167,90.0,0.5176380902050415,0.9914448613738104,0.0,0.0,LAWRENCE  BROZ
168,-80.97355988935706,1.0176380902050415,1.9659258262890682,0.0006768426011631414,0.0015928755213018512,MILES  KAHLER
169,78.75,0.25881904510252074,0.9914448613738104,0.0,0.0,MELISSA V HARRIS-LACEWELL
170,90.0,0.5176380902050415,0.9914448613738104,0.0,0.0,WILLIAM D STANLEY
171,-86.18669809859479,0.5176380902050415,0.9961946980917455,0.0,0.0,GERALD  GABRIS
172,90.0,0.5176380902050415,0.9659258262890683,0.0,0.0,KATHRYN  PEARSON
173,-85.43926806768745,0.5176380902050415,0.9978589232386035,0.0,0.0,MARK A POLLACK
174,90.0,0.0,1.0,0.0,0.0,GREGG B JOHNSON
