,ave_degree,width,height,average_curve,max_curve,name
0,90.0,0.5176380902050415,0.9914448613738104,0.0,0.0,G CHRISTOPHER STECKER
1,-50.94901154089243,5.591640048336255,4.866244497222065,0.05093575113264262,0.14262537825780172,THOMAS ALVA EDISON
2,-70.01276527436752,0.7588190451025207,1.831951230073507,0.0015928755213018447,0.0015928755213018447,JORDAN  OF SAXONY
3,-75.0,0.25881904510252074,0.9659258262890683,0.0,0.0,PIERRE  AIGRAIN
4,-83.6566207799146,1.5892244249574519,2.9882442776210514,0.009740912231696748,0.10284702817135677,ALEXANDER  PINES
5,-77.81795133512135,0.5132096245851413,1.9677408684937436,0.0007074891042876744,0.001592875521301838,DUNCAN  LIDDEL
6,-74.31549851203823,0.7588190451025207,1.9659258262890682,0.0005802323190187604,0.0015928755213018512,JOSHUA W SHAEVITZ
7,-75.0,0.25881904510252074,0.9659258262890683,0.0,0.0,DANIEL  BERCKRINGER
8,-50.34196967135075,4.297877056362575,3.2978770563625757,0.05475127231619763,0.05475127231619763,ADOLF EUGEN FICK
9,-75.0,0.25881904510252074,0.9659258262890683,0.0,0.0,MICHAEL R BRAUNSTEIN
10,-75.0,0.25881904510252074,0.9659258262890683,0.0,0.0,DEZHE  JIN
11,-80.00000000000001,0.25881904510252074,0.9961946980917455,0.0,0.0,THEODOSIOS  CHRISTODOULAKIS
12,-80.00000000000001,0.25881904510252074,0.9961946980917455,0.0,0.0,SZYMON  SUCKEWER
13,-75.0,0.25881904510252074,0.9659258262890683,0.0,0.0,J W NICHOLSON
14,-75.0,0.25881904510252074,0.9659258262890683,0.0,0.0,BRIAN  STEWART
15,90.0,0.5176380902050415,0.9978589232386035,0.0,0.0,DAVID S SHOLL
16,-74.31549851203823,0.7588190451025207,1.9659258262890682,0.0005802323190187604,0.0015928755213018512,HEINZ  HORNER
17,-77.50556768349387,0.5132096245851413,1.9573706876628787,0.0008956687422569246,0.001592875521301838,BORJE  JOHANSSON
18,-77.81795133512135,0.5132096245851413,1.9677408684937436,0.0007074891042876744,0.001592875521301838,HENNING HOJGAARD JENSEN
19,-75.0,0.25881904510252074,0.9659258262890683,0.0,0.0,ECKEHARD  SCHOLL
20,-83.95939114191287,0.5176380902050415,0.9995769500822006,0.0,0.0,JOHN  GUCKENHEIMER
21,-70.50928466245719,0.7588190451025207,1.8898053588003552,0.00019846196321201122,0.00019846196321201122,DESMOND F MCMORROW
22,-75.0,0.25881904510252074,0.9659258262890683,0.0,0.0,GUSTAF  GRANQVIST
23,-75.0,0.25881904510252074,0.9659258262890683,0.0,0.0,BERTEL  LAURENT
24,-72.34722102996948,0.7588190451025207,1.9659258262890682,0.0005195686708978652,0.0015928755213018512,J GRAEME DUTHIE
25,-75.0,0.25881904510252074,0.9659258262890683,0.0,0.0,NAM  MA
26,-79.27567986562669,0.9424128275529068,2.9573706876628787,0.01354204368132278,0.03612997744513629,AD  LAGENDIJK
27,-66.17801014749448,1.4659258262890682,2.6831586990915905,0.03612997744513624,0.03612997744513624,HANS  RYDE
28,90.0,0.5176380902050415,0.9659258262890683,0.0,0.0,TORD  JOHANSSON
29,90.0,0.5176380902050415,0.9659258262890683,0.0,0.0,BO  HOISTAD
30,-78.75,0.25881904510252074,0.9914448613738104,0.0,0.0,GUNNAR  INGELMAN
31,-75.0,0.25881904510252074,0.9659258262890683,0.0,0.0,JOHAN  RATHSMAN
32,90.0,0.5176380902050415,0.9659258262890683,0.0,0.0,LARS  WESTERBERG
33,-75.0,0.25881904510252074,0.9659258262890683,0.0,0.0,TORD  EKELOF
34,-75.0,0.25881904510252074,0.9659258262890683,0.0,0.0,ARMANDO  TURTELLI JR
35,-75.0,0.25881904510252074,0.9659258262890683,0.0,0.0,GEORGE E A MATSAS
36,-75.0,0.25881904510252074,0.9659258262890683,0.0,0.0,INGEMAR  BERGSTROM
37,86.87366008899481,1.0176380902050415,1.831951230073507,0.00039821888032546117,0.0015928755213018447,PIERRE  BERGERON
38,-52.448566104974844,5.97794938685488,4.1340784835468485,0.06561794283966724,0.1402414676641574,RICHARD C TOLMAN
39,-65.04489928647087,1.4659258262890682,2.5390580112600545,0.03375546528423462,0.03375546528423462,E C W A GEUZE
40,-56.777738641626165,3.896702830557624,4.02912111067519,0.0437615791153295,0.0623581309907043,CHRISTIAN  FUCHTBAUER
41,-74.24639456363624,0.7588190451025207,1.9659258262890682,0.0005306168282157575,0.0015928755213018512,PAUL  LEIDERER
42,-75.0,0.25881904510252074,0.9659258262890683,0.0,0.0,CHRISTIAN  SCHONENBERGER
43,-75.0,0.25881904510252074,0.9659258262890683,0.0,0.0,DOUGLAS VERN KELLER
44,-70.01276527436752,0.7588190451025207,1.831951230073507,0.0015928755213018447,0.0015928755213018447,ROBERT WALTER ZWANZIG
45,-80.62801897004165,0.3868425945333046,1.978644203641834,0.0004478343711284615,0.0015928755213018447,BORIS  SHKLOVSKII
46,-75.0,0.25881904510252074,0.9659258262890683,0.0,0.0,JOSHUA J PAK
47,-80.25718867642895,1.0205597676877027,3.9663310905913436,0.02227776011246661,0.10284702817135671,HORST  MEYER
48,-75.0,0.25881904510252074,0.9659258262890683,0.0,0.0,JOHN F MCGILP
49,-70.01276527436752,0.7588190451025207,1.831951230073507,0.0015928755213018447,0.0015928755213018447,KEN  MASUMOTO
50,-65.04489928647087,1.4659258262890682,2.5390580112600545,0.03375546528423462,0.03375546528423462,RYUTARO  ISHIWARI
51,-64.16113937902018,3.443778553684657,4.927576904742283,0.058727695567752626,0.13930345440436753,FRANCIS FRANZ EUGEN SIMON
52,-74.74804357275919,1.724744871391589,2.797877056362575,0.009783777689876722,0.10284702817135671,MOUNGI G BAWENDI
53,75.0,0.25881904510252074,0.9659258262890683,0.0,0.0,MICHAEL A DUNCAN
54,-78.75,0.25881904510252074,0.9914448613738104,0.0,0.0,JOHANN GEORG ANTON  GEUTHER
55,-70.01276527436752,0.7588190451025207,1.831951230073507,0.0015928755213018447,0.0015928755213018447,HERMANN  SCHALTEGGER
56,87.93636517577549,0.5176380902050415,0.9993007047883985,0.0,0.0,LAURIE J BUTLER
57,-75.0,0.25881904510252074,0.9659258262890683,0.0,0.0,JAVIER  AIZPURUA
58,-72.23194620519133,0.7588190451025207,1.9659258262890682,0.0005034363641057523,0.0015928755213018512,JAMES C BAIRD
59,-83.13829150782888,0.6031442319721299,1.9527651723300847,0.00013273962677515317,0.001592875521301838,MICHAL  LIPSON
60,-70.01276527436752,1.0176380902050415,2.797877056362575,0.10284702817135671,0.10284702817135671,ERNST  MIESCHER
61,-75.0,0.25881904510252074,0.9659258262890683,0.0,0.0,JAMES S KOUVEL
62,-70.01276527436752,0.7588190451025207,1.831951230073507,0.0015928755213018447,0.0015928755213018447,JOHN  COOPER
63,-63.38839498712531,2.160933814402476,3.595763514246303,0.045705648312703975,0.11818890856931454,MANFRED  KOCK
64,-75.0,0.25881904510252074,0.9659258262890683,0.0,0.0,ELISABETH  GIACOBINO
65,-75.0,0.7588190451025207,1.9659258262890682,0.0015928755213018512,0.0015928755213018512,JOHN  RYAN
66,-75.0,0.25881904510252074,0.9659258262890683,0.0,0.0,GIUSEPPE  VERDE
67,-72.61963312819569,1.7593756980217927,3.955119864524662,0.040765326207389416,0.1131645234309577,PHILIP  BOWDEN
68,-80.625,0.25881904510252074,0.9978589232386035,0.0,0.0,PHILIP W PHILLIPS
69,-77.15122076555664,0.5962664394076297,1.935887318877654,0.0015928755213018382,0.0015928755213018447,FRITZ  SAUTER
70,-75.0,0.25881904510252074,0.9659258262890683,0.0,0.0,JONATHAN  TOWNSEND
71,-75.0,0.25881904510252074,0.9659258262890683,0.0,0.0,JOHN  GOUGH
72,-75.0,0.25881904510252074,0.9659258262890683,0.0,0.0,JONATHAN  VIVENTI
73,-70.01276527436752,0.7588190451025207,1.831951230073507,0.0015928755213018447,0.0015928755213018447,JOHANNES  MEURSIUS
74,-88.47835357203498,0.5176380902050415,0.9961946980917455,0.0,0.0,C AUSTEN  ANGELL
75,-75.0,0.25881904510252074,0.9659258262890683,0.0,0.0,HENRIK  FALCK
76,-75.0,0.25881904510252074,0.9659258262890683,0.0,0.0,VICTOR  LUANA CABAL
77,-75.0,0.25881904510252074,0.9659258262890683,0.0,0.0,MARIE LOUISE  JOSIEN
78,-80.00067734702539,1.2615713675268938,3.9311302385512574,0.04943637282625884,0.12655981128484484,ALFRED  MAQUET
79,-70.50928466245719,0.7588190451025207,1.8898053588003552,0.00019846196321201122,0.00019846196321201122,AKHIRUDDIN  MADDU
80,-78.75,0.25881904510252074,0.9914448613738104,0.0,0.0,VLADIMIR  ZELEVINSKY
81,-75.0,0.25881904510252074,0.9659258262890683,0.0,0.0,ARTUR  POLLS
82,-68.12753807919357,1.2260876733755826,2.797877056362575,0.07802862809515576,0.09561798046529099,JOZEF  NAMYSLOWSKI
83,-85.79737235282633,0.5176380902050415,0.9993007047883985,0.0,0.0,ELLEN D WILLIAMS
84,-75.0,0.25881904510252074,0.9659258262890683,0.0,0.0,MIGUEL A ALONSO
85,-75.0,0.25881904510252074,0.9659258262890683,0.0,0.0,GRAHAM J BAILEY
86,90.0,0.5176380902050415,0.9914448613738104,0.0,0.0,TIMOTHY A JACKSON
87,90.0,0.5176380902050415,0.9659258262890683,0.0,0.0,UZI  LANDMAN
88,-70.50928466245719,0.7588190451025207,1.8898053588003552,0.00019846196321201122,0.00019846196321201122,REMY T VAN DE WALLE
89,-75.0,0.25881904510252074,0.9659258262890683,0.0,0.0,FREDERICK W CRAWFORD
90,90.0,0.5176380902050415,0.9659258262890683,0.0,0.0,LEONID A MIRNY
91,-85.65631350442335,0.5909654137897506,1.9960193157455535,0.0003227815216966365,0.0015928755213018447,PABLO G DEBENEDETTI
92,75.0,0.25881904510252074,0.9659258262890683,0.0,0.0,RODNEY D PRIESTLEY
93,-86.89065170694953,0.9370072722756575,1.975344228701791,0.00026547925355030743,0.0015928755213018577,BALAJI  NARASIMHAN
94,75.0,0.25881904510252074,0.9659258262890683,0.0,0.0,MILENA  GRIFONI
95,-65.04489928647087,1.4659258262890682,2.5390580112600545,0.03375546528423462,0.03375546528423462,HENRY JACOB GOMBERG
96,-48.94565293584244,5.794259991152037,4.857976876328339,0.08823445352344503,0.1705185459948236,JOSEPH NORMAN  LOCKYER
97,-80.00000000000001,0.25881904510252074,0.9961946980917455,0.0,0.0,GARNET ALEXANDER WOONTON
